ID,Brand,Model,Varient,Manufacture Year,Driven Kilometers,Fuel,Number of Owner,Body Type,Location,Price
1013,Ford,Ecosport,1.5 TDCI TITANIUM PLUS,2017,79368,Diesel,First Owner,SUV,Delhi,666299
1014,Maruti,Vitara,Brezza ZDI,2017,77103,Diesel,First Owner,SUV,Delhi,698599
1015,Hyundai,Creta,1.6 S,2015,20087,Petrol,Second Owner,SUV,Delhi,798499
1016,Mahindra,Scorpio,S10,2016,54407,Diesel,First Owner,SUV,Delhi,993199
1017,Maruti,Vitara,Brezza VDI,2018,57789,Diesel,First Owner,SUV,Delhi,642999
1018,Toyota,Innova,Crysta 2.4 GX 7 STR,2017,42841,Diesel,First Owner,SUV,Delhi,1333499
1019,Toyota,Innova,2.5 VX 7 STR BS IV,2015,73147,Diesel,Second Owner,SUV,Delhi,835799
1020,Mahindra,Scorpio,S5 2WD,2018,41612,Diesel,First Owner,SUV,Delhi,934099
1021,Hyundai,Creta,1.6 SX (O) CRDI,2015,72762,Diesel,First Owner,SUV,Delhi,757499
1022,Maruti,Vitara,Brezza VDI,2019,33431,Diesel,First Owner,SUV,Delhi,813999
1023,Renault,Duster,85 PS RXE,2013,84715,Diesel,Second Owner,SUV,Delhi,369599
1024,Hyundai,Creta,1.6 SX (O) CRDI,2018,59837,Diesel,Second Owner,SUV,Delhi,1141499
1025,Renault,Duster,85 PS RXE,2013,80353,Diesel,First Owner,SUV,Delhi,366599
1026,Maruti,S,Cross ALPHA 1.6,2016,82459,Diesel,First Owner,SUV,Delhi,507099
1027,Mahindra,Scorpio,S5 2WD,2019,13601,Diesel,First Owner,SUV,Delhi,1127999
1028,Renault,Duster,85 PS RXE,2016,66041,Diesel,Second Owner,SUV,Delhi,569099
1029,Maruti,S,Cross ALPHA SHVS,2017,86066,Diesel,First Owner,SUV,Delhi,833299
1030,Renault,Duster,85 PS RXL OPT,2013,93113,Diesel,First Owner,SUV,Delhi,415799
1031,Maruti,Vitara,Brezza VDI,2018,67617,Diesel,First Owner,SUV,Delhi,730499
1032,Mahindra,NUVOSPORT,N6 mHAWK,2016,100131,Diesel,First Owner,SUV,Delhi,399999
1033,Maruti,Vitara,Brezza ZDI,2017,92788,Diesel,First Owner,SUV,Delhi,648699
1034,Maruti,Vitara,Brezza VDI,2016,53873,Diesel,First Owner,SUV,Delhi,678599
1035,Mahindra,Scorpio,S10,2014,48555,Diesel,First Owner,SUV,Delhi,864399
1036,Maruti,Ertiga,VDI ABS,2013,86148,Diesel,Second Owner,SUV,Delhi,447799
1037,Toyota,Innova,2.5 GX 7 STR BS IV,2013,96015,Diesel,First Owner,SUV,Delhi,611599
1038,Ford,Ecosport,1.5 TITANIUMTDCI OPT,2017,73823,Diesel,First Owner,SUV,Delhi,665699
1039,Hyundai,Creta,1.6 CRDI SX PLUS AUTO,2018,78027,Diesel,Second Owner,SUV,Delhi,1081199
1040,Honda,Mobilio,1.5 S I DTEC,2015,99511,Diesel,First Owner,SUV,Delhi,422999
1041,Hyundai,Creta,1.6 SX CRDI,2015,80247,Diesel,First Owner,SUV,Delhi,720299
1042,Maruti,Vitara,Brezza VDI,2016,70187,Diesel,First Owner,SUV,Delhi,569199
1043,Mahindra,Scorpio,S11,2018,85283,Diesel,Second Owner,SUV,Delhi,1268099
1044,Maruti,Vitara,Brezza ZDI,2016,101529,Diesel,First Owner,SUV,Delhi,628699
1045,Hyundai,Creta,1.6 SX AT CRDI,2019,39695,Diesel,First Owner,SUV,Delhi,1377399
1046,Maruti,Vitara,Brezza ZDI PLUS,2017,102689,Diesel,First Owner,SUV,Delhi,667599
1047,Toyota,Innova,Crysta 2.8 GX AT 7 STR,2017,104502,Diesel,Second Owner,SUV,Delhi,1443299
1048,Mahindra,Scorpio,S10,2014,55264,Diesel,First Owner,SUV,Delhi,920199
1049,Maruti,Vitara,Brezza VDI,2016,78346,Diesel,First Owner,SUV,Delhi,601899
1050,Toyota,Innova,2.5 GX 8 STR BS IV,2014,99985,Diesel,First Owner,SUV,Delhi,654699
1051,Maruti,Ertiga,VDI ABS,2013,112228,Diesel,First Owner,SUV,Delhi,445199
1052,Toyota,Innova,2.5 VX 7 STR BS IV,2015,111562,Diesel,First Owner,SUV,Delhi,856299
1053,Mahindra,TUV300,T6+,2015,92818,Diesel,First Owner,SUV,Delhi,469699
1054,Toyota,Innova,2.5 GX 7 STR BS IV,2014,114546,Diesel,Second Owner,SUV,Delhi,538399
1055,Toyota,Innova,2.5 VX 8 STR BS IV,2014,84036,Diesel,First Owner,SUV,Delhi,861999
1056,Hyundai,Creta,1.6 SX CRDI,2015,126315,Diesel,First Owner,SUV,Delhi,750399
1057,Toyota,Innova,Crysta 2.4 GX 7 STR,2017,133126,Diesel,Second Owner,SUV,Delhi,1174099
1058,Toyota,Innova,2.5 GX 8 STR BS IV,2015,76940,Diesel,Second Owner,SUV,Delhi,711599
1059,Ford,Ecosport,1.5 TREND TDCI,2014,121293,Diesel,First Owner,SUV,Delhi,453899
1060,Toyota,Innova,2.5 VX 8 STR BS IV,2014,82096,Diesel,First Owner,SUV,Delhi,975699
1061,Maruti,Vitara,Brezza VDI,2016,111613,Diesel,First Owner,SUV,Delhi,535999
1062,Maruti,S,Cross ALPHA 1.6,2016,117222,Diesel,First Owner,SUV,Delhi,549899
1063,Toyota,Innova,2.5 VX 7 STR BS IV,2014,101927,Diesel,First Owner,SUV,Delhi,691799
1064,Toyota,Innova,2.5 VX 8 STR BS IV,2014,69781,Diesel,First Owner,SUV,Delhi,973699
1065,Renault,Duster,110 PS RXZ DIESEL PLUS,2013,117200,Diesel,First Owner,SUV,Delhi,355899
1066,Maruti,Vitara,Brezza ZDI PLUS DUAL TONE,2016,146339,Diesel,First Owner,SUV,Delhi,567999
1067,Hyundai,Creta,1.6 SX (O) CRDI,2016,142527,Diesel,First Owner,SUV,Delhi,892899
1068,Maruti,Ertiga,VDI ABS,2013,115820,Diesel,First Owner,SUV,Delhi,421599
1069,Maruti,Vitara,Brezza VDI,2018,112230,Diesel,First Owner,SUV,Delhi,671399
1070,Ford,Ecosport,1.5 AMBIENTE TDCI,2013,188137,Diesel,First Owner,SUV,Delhi,399399
1071,Hyundai,Creta,1.6 SX AT CRDI,2016,124714,Diesel,First Owner,SUV,Delhi,794099
1072,Toyota,Innova,2.5 GX 7 STR BS IV,2014,190850,Diesel,First Owner,SUV,Delhi,626599
1073,Ford,Ecosport,1.5 AMBIENTE TDCI,2015,122227,Diesel,Second Owner,SUV,Delhi,470799
1074,Mahindra,Scorpio,S10,2015,130028,Diesel,First Owner,SUV,Delhi,854899
1075,Maruti,Ertiga,ZDI,2013,167408,Diesel,First Owner,SUV,Delhi,391799
1076,Toyota,Innova,2.5 GX 7 STR BS IV,2013,195338,Diesel,First Owner,SUV,Delhi,596399
1077,Maruti,S,Cross ALPHA SHVS,2017,26229,Diesel,First Owner,SUV,Delhi,850199
1078,Hyundai,VENUE,S MT 1.2 KAPPA,2021,2589,Petrol,First Owner,SUV,Delhi,807999
1079,Maruti,Eeco,5 STR WITH AC PLUSHTR,2019,9578,Petrol + CNG,First Owner,SUV,Delhi,414899
1080,Maruti,Vitara,Brezza VDI,2019,24035,Diesel,Second Owner,SUV,Delhi,767199
1081,Renault,Duster,RXL DIESEL 110,2013,63766,Diesel,First Owner,SUV,Delhi,362699
1082,Ford,Ecosport,1.5 TITANIUM TI VCT AT,2015,52758,Petrol,Second Owner,SUV,Delhi,567999
1083,Maruti,Vitara,Brezza VDI OPT,2017,41931,Diesel,First Owner,SUV,Delhi,669999
1084,Maruti,Vitara,Brezza VDI,2018,20519,Diesel,First Owner,SUV,Delhi,743399
1085,Maruti,Ertiga,VDI SHVS,2016,70063,Diesel,First Owner,SUV,Delhi,546399
1086,Maruti,Vitara,Brezza ZXI AT SHVS,2020,13764,Petrol,First Owner,SUV,Delhi,975499
1087,Mahindra,Thar,CRDE 4X4 BS IV,2018,22800,Diesel,Second Owner,SUV,Delhi,740299
1088,Maruti,Ertiga,VDI SHVS,2017,61668,Diesel,First Owner,SUV,Delhi,627199
1089,Mahindra,Scorpio,S8,2015,50968,Diesel,First Owner,SUV,Delhi,785099
1090,Hyundai,VENUE,1.0 TURBO GDI SX+ AT,2019,17949,Petrol,First Owner,SUV,Delhi,1092599
1091,Ford,Ecosport,1.5 TREND+ TDCI,2019,53044,Diesel,First Owner,SUV,Delhi,733199
1092,Maruti,Vitara,Brezza ZDI PLUS,2018,45842,Diesel,First Owner,SUV,Delhi,769699
1093,Hyundai,Creta,1.4 E PLUS CRDI,2017,83404,Diesel,Second Owner,SUV,Delhi,741599
1094,Hyundai,Creta,1.6 SX (O) CRDI,2015,24325,Diesel,First Owner,SUV,Delhi,967299
1095,Hyundai,Creta,1.6 SX CRDI,2015,117182,Diesel,First Owner,SUV,Delhi,718199
1096,Maruti,Eeco,5 STR WITH AC PLUSHTR,2019,8454,Petrol,First Owner,SUV,Delhi,418799
1097,Maruti,Ertiga,VDI ABS,2014,53854,Diesel,First Owner,SUV,Delhi,455999
1098,Mahindra,Scorpio,S11,2020,6184,Diesel,First Owner,SUV,Delhi,1461999
1099,Hyundai,Creta,SX PETROL MT,2020,7383,Petrol,First Owner,SUV,Delhi,1360899
1100,Ford,Ecosport,1.5 TREND TI VCT,2016,61933,Petrol,First Owner,SUV,Delhi,476899
1101,Ford,Ecosport,1.5 TITANIUM PLUS TI VCT AT,2018,27486,Petrol,First Owner,SUV,Delhi,792599
1102,Mahindra,XUV,3OO 1.2 W8 OPT,2019,9779,Petrol,First Owner,SUV,Delhi,958499
1103,Maruti,Ertiga,ZDI,2015,57933,Diesel,Second Owner,SUV,Delhi,537099
1104,Maruti,XL6,ALPHA SHVS MT,2019,10643,Petrol,Second Owner,SUV,Delhi,856199
1105,Maruti,Vitara,Brezza VDI OPT,2017,34534,Diesel,First Owner,SUV,Delhi,649499
1106,Maruti,Vitara,Brezza VDI,2019,29804,Diesel,First Owner,SUV,Delhi,809899
1107,Renault,Duster,85 PS RXL OPT,2013,76169,Diesel,First Owner,SUV,Delhi,405299
1108,Maruti,Eeco,7 STR,2018,48746,Petrol + CNG,First Owner,SUV,Delhi,334499
1109,Maruti,Ertiga,ZXI SMART HYBRID,2019,8326,Petrol,First Owner,SUV,Delhi,902699
1110,Ford,Ecosport,1.5 TREND TDCI,2013,66940,Diesel,First Owner,SUV,Delhi,381799
1111,Hyundai,Creta,1.6 S,2015,41177,Petrol,First Owner,SUV,Delhi,711999
1112,Maruti,Eeco,5 STR CNG WITH AC PLUSHTR,2016,64908,Petrol + CNG,Second Owner,SUV,Delhi,269799
1113,Renault,Duster,RXS 85 PS SANDSTORM EDITION,2017,47645,Diesel,First Owner,SUV,Delhi,640299
1114,Hyundai,VENUE,1.4 CRDI S MT,2019,8342,Diesel,First Owner,SUV,Delhi,810599
1115,Ford,Ecosport,1.5TITANIUM TDCI,2015,67599,Diesel,First Owner,SUV,Delhi,467999
1116,Ford,Ecosport,1.0 ECOBOOST TITANIUM OPT,2013,73316,Petrol,First Owner,SUV,Delhi,393799
1117,Maruti,Eeco,5 STR WITH AC PLUS HTR,2016,75552,Petrol + CNG,First Owner,SUV,Delhi,277499
1118,Maruti,Ertiga,ZDI PLUS SHVS,2019,49852,Diesel,First Owner,SUV,Delhi,853799
1119,Ford,Ecosport,1.5 TITANIUM TI VCT,2018,14253,Petrol,First Owner,SUV,Delhi,793299
1120,Honda,WR-V,1.2 i-VTEC VX MT,2017,58305,Petrol,Second Owner,SUV,Delhi,628599
1121,Toyota,Innova,Crysta 2.4 VX 7 STR,2017,62375,Diesel,First Owner,SUV,Delhi,1592799
1122,Honda,WR-V,1.2 i-VTEC S MT,2017,60288,Petrol,First Owner,SUV,Delhi,582499
1123,Hyundai,Creta,1.6 E + VTVT,2019,12883,Petrol,First Owner,SUV,Delhi,916899
1124,Honda,WR-V,1.5 i-DTEC S MT,2017,79597,Diesel,First Owner,SUV,Delhi,561099
1125,Tata,Harrier,XZ 2.0L Kryotec,2019,25706,Diesel,First Owner,SUV,Delhi,1265099
1126,Hyundai,Creta,1.6 SX AT PETROL,2018,20241,Petrol,First Owner,SUV,Delhi,1220899
1127,Mahindra,Scorpio,S8,2015,60362,Diesel,Second Owner,SUV,Delhi,837799
1128,Maruti,Eeco,7 STR,2019,9372,Petrol,First Owner,SUV,Delhi,364299
1129,Mahindra,Scorpio,S7 140 BHP 2WD,2018,36232,Diesel,First Owner,SUV,Delhi,1155199
1130,Mahindra,Scorpio,S10 7 STR,2015,75491,Diesel,Second Owner,SUV,Delhi,696899
1131,Ford,Ecosport,1.5 TITANIUM PLUS TI VCT AT,2018,51582,Petrol,First Owner,SUV,Delhi,728999
1132,Hyundai,Creta,1.4 E PLUS CRDI,2018,51273,Diesel,First Owner,SUV,Delhi,918099
1133,Maruti,Vitara,Brezza ZDI,2017,75604,Diesel,First Owner,SUV,Delhi,680899
1134,Renault,Duster,85 PS RXL,2013,96926,Diesel,First Owner,SUV,Delhi,338699
1135,Maruti,Vitara,Brezza LDI,2016,101948,Diesel,First Owner,SUV,Delhi,514999
1136,Mahindra,Scorpio,S10,2016,51569,Diesel,First Owner,SUV,Delhi,956699
1137,Hyundai,Creta,1.6 SX PLUS DIESEL,2016,94738,Diesel,First Owner,SUV,Delhi,746399
1138,Toyota,Innova,2.5 VX 7 STR BS IV,2013,82595,Diesel,First Owner,SUV,Delhi,582899
1139,Maruti,Vitara,Brezza LDI OPT,2018,74994,Diesel,First Owner,SUV,Delhi,584899
1140,Mahindra,Scorpio,S7 120 BHP 2WD,2018,79544,Diesel,First Owner,SUV,Delhi,1055399
1141,Hyundai,Creta,1.4 E PLUS CRDI,2017,102223,Diesel,First Owner,SUV,Delhi,695299
1142,Renault,Duster,85 PS RXE,2014,105137,Diesel,Second Owner,SUV,Delhi,369899
1143,Ford,Ecosport,1.5 TREND TDCI,2015,90792,Diesel,First Owner,SUV,Delhi,489999
1144,Mahindra,Kuv100,K4 D 6 STR,2016,55364,Diesel,First Owner,SUV,Delhi,264199
1145,Maruti,Eeco,5 STR CNG WITH AC PLUSHTR,2019,23051,Petrol + CNG,First Owner,SUV,Delhi,401899
1146,Ford,Ecosport,1.5AMBIENTE TI VCT,2016,64070,Petrol,Second Owner,SUV,Delhi,460799
1147,Maruti,Vitara,Brezza VDI,2016,71468,Diesel,First Owner,SUV,Delhi,610899
1148,Ford,Ecosport,1.5 TITANIUMTDCI OPT,2015,29208,Diesel,First Owner,SUV,Delhi,525000
1149,Nissan,Terrano,XE 85 PS DEISEL,2018,25838,Diesel,First Owner,SUV,Delhi,680000
1150,Maruti,Vitara,Brezza LDI,2017,25619,Diesel,First Owner,SUV,Delhi,685000
1151,Maruti,Vitara,Brezza ZDI,2016,55444,Diesel,First Owner,SUV,Delhi,625000
1152,Hyundai,Creta,1.6 EX VTVT,2019,3249,Petrol,First Owner,SUV,Delhi,1075000
1153,Maruti,Vitara,Brezza ZDI PLUS,2016,39935,Diesel,First Owner,SUV,Delhi,715000
1154,Ford,Ecosport,1.5 AMBIENTE TDCI,2016,56599,Diesel,First Owner,SUV,Delhi,485000
1155,Mahindra,Kuv100,K8 5 STR,2016,42070,Petrol,First Owner,SUV,Delhi,349000
1156,Mahindra,Thar,CRDE 4X4 BS IV,2019,6609,Diesel,First Owner,SUV,Delhi,1000000
1157,Maruti,Vitara,Brezza VDI AMT,2018,28932,Diesel,First Owner,SUV,Delhi,875000
1158,Hyundai,VENUE,1.0 TURBO GDI SX+ AT,2019,13775,Petrol,First Owner,SUV,Delhi,960000
1159,Hyundai,Creta,1.6 SX VTVT,2019,9697,Petrol,First Owner,SUV,Delhi,1295000
1160,Ford,Ecosport,1.5TITANIUM TDCI,2013,70732,Diesel,First Owner,SUV,Delhi,490000
1161,Renault,Duster,110 PS RXZ DIESEL PLUS,2012,87492,Diesel,Second Owner,SUV,Delhi,300000
1162,Ford,Ecosport,1.5TITANIUM TDCI,2017,17547,Diesel,First Owner,SUV,Delhi,925000
1163,Hyundai,Creta,1.6 CRDI SX PLUS AUTO,2017,46544,Diesel,First Owner,SUV,Delhi,1137000
1164,Tata,NEXON,XZA + 1.2 PETROL A/T,2018,46969,Petrol,First Owner,SUV,Delhi,800000
1165,Tata,NEXON,XZ+ 1.2,2019,13706,Petrol,First Owner,SUV,Delhi,875000
1166,Tata,Harrier,XZ 2.0L Kryotec,2019,22796,Diesel,First Owner,SUV,Delhi,1700000
1167,Hyundai,Creta,1.6 SX PLUS PETROL,2018,34051,Petrol,First Owner,SUV,Delhi,1175000
1168,Tata,NEXON,XZ+ 1.2,2018,15705,Petrol,First Owner,SUV,Delhi,890000
1169,Mahindra,Quanto,C2,2012,79049,Diesel,First Owner,SUV,Delhi,225000
1170,Ford,Ecosport,1.5TITANIUM TDCI,2014,73120,Diesel,First Owner,SUV,Delhi,525000
1171,Ford,Ecosport,1.5 TITANIUM SIGNATURE (SUNROOF) TDCI,2018,66285,Diesel,First Owner,SUV,Delhi,975000
1172,Mahindra,Scorpio,SLE BS IV,2013,119461,Diesel,First Owner,SUV,Delhi,450000
1173,Honda,BR-V,1.5 i-VTEC V,2016,73487,Petrol,First Owner,SUV,Delhi,700000
1174,Toyota,Innova,2.5 GX 7 STR BS IV,2013,111759,Diesel,Second Owner,SUV,Delhi,545000
1175,Hyundai,VENUE,1.0L Turbo GDI SX MT,2020,37178,Petrol,First Owner,SUV,Delhi,960000
1176,Ford,Ecosport,1.5TITANIUM TDCI,2014,78423,Diesel,First Owner,SUV,Delhi,525000
1177,Ford,Ecosport,1.5TITANIUM TDCI,2014,95965,Diesel,Second Owner,SUV,Delhi,495000
1178,Hyundai,Creta,1.6 SX PLUS PETROL,2015,112111,Petrol,First Owner,SUV,Delhi,725000
1179,Mahindra,Thar,CRDE 4X4 BS IV,2018,6055,Diesel,First Owner,SUV,Delhi,900000
1180,Maruti,Eeco,5 STR CNG WITH AC PLUSHTR,2019,45932,Petrol + CNG,First Owner,SUV,Delhi,355000
1181,Ford,Ecosport,1.5 TREND TI VCT,2016,54144,Petrol,First Owner,SUV,Delhi,590000
1182,Mahindra,TUV300,T6,2017,51699,Diesel,First Owner,SUV,Delhi,600000
1183,Maruti,Eeco,5 STR CNG WITH HTR,2012,122286,Petrol + CNG,Second Owner,SUV,Delhi,180000
1184,Mahindra,Thar,CRDE 4X4 BS IV,2017,37134,Diesel,First Owner,SUV,Delhi,644799
1185,Nissan,Terrano,XL PLUS 85 PS DEISEL,2015,56127,Diesel,First Owner,SUV,Delhi,415899
1186,Toyota,Innova,2.5 GX 7 STR BS IV,2013,46674,Diesel,First Owner,SUV,Delhi,604799
1187,Maruti,Vitara,Brezza VDI,2018,26170,Diesel,First Owner,SUV,Delhi,736799
1188,Renault,Duster,RXL DIESEL 110,2013,74809,Diesel,First Owner,SUV,Delhi,412599
1189,Maruti,Vitara,Brezza ZDI,2017,41289,Diesel,First Owner,SUV,Delhi,763799
1190,Maruti,Vitara,Brezza ZDI PLUS DUAL TONE,2018,46874,Diesel,First Owner,SUV,Delhi,835899
1191,Maruti,Vitara,Brezza VDI,2019,38213,Diesel,First Owner,SUV,Delhi,726899
1192,Renault,Duster,85 PS RXL,2012,97044,Diesel,Second Owner,SUV,Delhi,346399
1193,Maruti,Vitara,Brezza VDI,2018,50930,Diesel,First Owner,SUV,Delhi,638999
1194,Maruti,Vitara,Brezza VDI,2017,79275,Diesel,First Owner,SUV,Delhi,686399
1195,Maruti,Vitara,Brezza ZDI,2018,38872,Diesel,First Owner,SUV,Delhi,998646
1196,Maruti,Vitara,Brezza ZDI,2017,95064,Diesel,First Owner,SUV,Delhi,732099
1197,Maruti,Vitara,Brezza ZDI,2016,105991,Diesel,First Owner,SUV,Delhi,708155
1198,Hyundai,Creta,1.6 SX CRDI,2016,199241,Diesel,First Owner,SUV,Delhi,729199
1199,Toyota,Innova,2.5 GX 8 STR BS IV,2012,78059,Diesel,First Owner,SUV,Delhi,549399
1200,Honda,WR-V,1.5 i-DTEC VX MT,2017,86981,Diesel,First Owner,SUV,Delhi,666399
1201,Hyundai,Creta,1.4 S CRDI,2018,69247,Diesel,First Owner,SUV,Delhi,890799
1202,Renault,Duster,110 PS RXZ DIESEL OPT,2013,134342,Diesel,Second Owner,SUV,Delhi,323499
1203,Mahindra,Bolero,Power+ SLX,2018,18454,Diesel,First Owner,SUV,Delhi,650999
1204,Hyundai,Creta,1.4 E PLUS CRDI,2017,63228,Diesel,First Owner,SUV,Delhi,786899
1205,Mahindra,XUV,3OO W8(O),2019,60738,Diesel,First Owner,SUV,Delhi,898799
1206,Maruti,Ertiga,ZDI,2012,120093,Diesel,Second Owner,SUV,Delhi,364299
1207,Skoda,Superb,ELEGANCE 1.8 TSI AT,2010,85270,Petrol,Second Owner,Luxury Sedan,Delhi,382599
1208,Chevrolet,Cruze,LTZ,2013,91254,Diesel,First Owner,Luxury Sedan,Delhi,487399
1209,Mercedes,Benz,E Class E 220 CDI ELEGANCE,2013,52110,Diesel,First Owner,Luxury Sedan,Delhi,1247899
1210,Toyota,Corolla,Altis D 4D J,2012,105865,Diesel,First Owner,Luxury Sedan,Delhi,371199
1211,Toyota,Corolla,Altis GL,2015,79084,Petrol,Second Owner,Luxury Sedan,Delhi,800599
1212,Hyundai,New,Elantra 1.6 SX MT,2012,116454,Diesel,Second Owner,Luxury Sedan,Delhi,414899
1213,Mercedes,Benz,CLA Class CLA 200 CDI SPORT,2016,19492,Diesel,Second Owner,Luxury Sedan,Delhi,1932499
1214,Mercedes,Benz,E Class E 250 CDI AVANTGARDE,2013,41294,Diesel,Second Owner,Luxury Sedan,Delhi,1354899
1215,Mercedes,Benz,E Class E 220 CDI ELEGANCE,2013,66446,Diesel,Second Owner,Luxury Sedan,Delhi,1232899
1216,Toyota,Corolla,Altis VL AT,2015,92045,Petrol,First Owner,Luxury Sedan,Delhi,909199
1217,Mercedes,Benz,E Class E 220 CDI ELEGANCE,2013,69864,Diesel,Third Owner,Luxury Sedan,Delhi,1066499
1218,Toyota,Corolla,Altis D 4D J,2014,103033,Diesel,First Owner,Luxury Sedan,Delhi,672999
1219,Toyota,Corolla,Altis D 4D J,2015,132201,Diesel,First Owner,Luxury Sedan,Delhi,685199
1220,Toyota,Corolla,Altis GL,2014,134937,Petrol,First Owner,Luxury Sedan,Delhi,726299
1221,Skoda,Superb,ELEGANCE 1.8 TSI AT,2009,85359,Petrol,Second Owner,Luxury Sedan,Delhi,280299
1222,Toyota,Corolla,Altis G AT,2015,63415,Petrol,First Owner,Luxury Sedan,Delhi,763999
1223,Toyota,Corolla,Altis 1.8 G,2009,103720,Petrol,First Owner,Luxury Sedan,Delhi,266799
1224,Audi,A4,35 TFSI PREMIUM,2016,38834,Petrol,First Owner,Luxury Sedan,Delhi,1770899
1225,BMW,3,Series 320D,2015,59109,Diesel,First Owner,Luxury Sedan,Delhi,1428899
1226,Audi,A6,2.0 TDI,2012,29177,Diesel,First Owner,Luxury Sedan,Delhi,1082899
1227,Mercedes,Benz,A Class A180 SPORT PETROL,2013,43690,Petrol,Second Owner,Luxury Sedan,Delhi,1019999
1228,Mercedes,Benz,E Class E 250 CDI CLASSIC,2014,93852,Diesel,First Owner,Luxury Sedan,Delhi,1417399
1229,Toyota,Corolla,Altis VL AT,2012,118659,Petrol,Second Owner,Luxury Sedan,Delhi,435799
1230,BMW,3,Series 320D LUXURYLINE,2012,83797,Diesel,Second Owner,Luxury Sedan,Delhi,912599
1231,Skoda,Superb,ELEGANCE 1.8 TSI AT,2009,77360,Petrol,First Owner,Luxury Sedan,Delhi,253899
1232,Mercedes,Benz,C Class 250 D AVANTGARDE,2017,26056,Diesel,Second Owner,Luxury Sedan,Delhi,2350000
1233,Mercedes,Benz,E Class E 250 CDI ELEGANCE,2014,53522,Diesel,Second Owner,Luxury Sedan,Delhi,1796000
1234,Audi,A6,35 TDI PEMIUM,2014,65508,Diesel,Second Owner,Luxury Sedan,Delhi,1600000
1235,Mercedes,Benz,C Class C 220 CDI CLASSIC,2012,108785,Diesel,First Owner,Luxury Sedan,Delhi,750000
1236,Audi,A4,2.0 TDI 174BHP PRM PLUS,2014,95959,Diesel,Second Owner,Luxury Sedan,Delhi,1246000
1237,Mercedes,Benz,E Class E 350 CABRIOLET,2012,81350,Diesel,First Owner,Luxury Sedan,Delhi,925000
1238,Toyota,Corolla,Altis G,2016,32950,Petrol,First Owner,Luxury Sedan,Delhi,1025000
1239,Audi,A6,2.8 FSI,2009,57683,Petrol,First Owner,Luxury Sedan,Delhi,625000
1240,Toyota,Camry,2.5 AT,2014,64524,Petrol,First Owner,Luxury Sedan,Delhi,1075000
1241,Hyundai,New,Elantra 1.6 SX AT O,2018,44347,Diesel,First Owner,Luxury Sedan,Delhi,1347299
1242,Toyota,Corolla,Altis D 4D JS,2013,111861,Diesel,First Owner,Luxury Sedan,Delhi,430199
1243,Toyota,Corolla,Altis 1.8 G,2010,144202,Petrol,Second Owner,Luxury Sedan,Delhi,312899
1244,Audi,A4,35 TDI PREMIUM PLUS SUNROOF,2015,47680,Diesel,First Owner,Luxury Sedan,Delhi,1632199
1245,Ssangyong,Rexton,RX7,2013,75753,Diesel,First Owner,Luxury SUV,Delhi,600899
1246,Honda,CRV,2.4 AT,2007,108094,Petrol,Second Owner,Luxury SUV,Delhi,293199
1247,Toyota,Fortuner,3.0 MT 4X2,2013,205697,Diesel,First Owner,Luxury SUV,Delhi,1021799
1248,Mercedes,Benz,GLA Class 200 CGI SPOTRS,2016,27617,Petrol,First Owner,Luxury SUV,Delhi,1952199
1249,Ssangyong,Rexton,RX 6,2014,89990,Diesel,First Owner,Luxury SUV,Delhi,561399
1250,Mahindra,XUV500,W8 FWD,2014,60070,Diesel,First Owner,Luxury SUV,Delhi,699299
1251,Mahindra,XUV500,W6 4X2,2016,99147,Diesel,First Owner,Luxury SUV,Delhi,697999
1252,Mahindra,XUV500,W10 FWD,2017,93769,Diesel,First Owner,Luxury SUV,Delhi,974299
1253,Mahindra,XUV500,W8 FWD,2015,84778,Diesel,Second Owner,Luxury SUV,Delhi,708499
1254,Honda,CRV,2.0 MT,2008,191022,Petrol,First Owner,Luxury SUV,Delhi,439199
1255,Mahindra,XUV500,W6 4X2,2014,166731,Diesel,First Owner,Luxury SUV,Delhi,491399
1256,Mahindra,XUV500,W10,2015,113208,Diesel,First Owner,Luxury SUV,Delhi,839699
1257,Toyota,Fortuner,3.0 MT 4X4,2012,194439,Diesel,First Owner,Luxury SUV,Delhi,1051299
1258,Toyota,Fortuner,3.0 AT 4X2,2013,74189,Diesel,First Owner,Luxury SUV,Delhi,1370499
1259,Toyota,Fortuner,3.0 MT 4X2,2012,176354,Diesel,First Owner,Luxury SUV,Delhi,1023399
1260,Mahindra,XUV500,W8 FWD,2014,64950,Diesel,Second Owner,Luxury SUV,Delhi,562199
1261,Mahindra,XUV500,W8 FWD,2012,114487,Diesel,First Owner,Luxury SUV,Delhi,449899
1262,Mahindra,XUV500,W10,2015,79541,Diesel,First Owner,Luxury SUV,Delhi,789699
1263,Toyota,Fortuner,2.8 4x2 AT,2018,36813,Diesel,First Owner,Luxury SUV,Delhi,2879999
1264,Mahindra,XUV500,W6 4X2,2013,64884,Diesel,First Owner,Luxury SUV,Delhi,464199
1265,Mahindra,XUV500,W6 AT,2016,48126,Diesel,First Owner,Luxury SUV,Delhi,840999
1266,Mahindra,XUV500,W9,2018,44133,Diesel,First Owner,Luxury SUV,Delhi,1164699
1267,Mahindra,XUV500,W8 AWD,2014,79878,Diesel,Second Owner,Luxury SUV,Delhi,633899
1268,Mahindra,XUV500,W8 FWD,2014,89151,Diesel,First Owner,Luxury SUV,Delhi,557399
